,s_id,t_id,pred,label
0,0,0,0.9826961755752563,0
1,0,1,6.87716601532884e-05,0
2,0,2,5.784439781564288e-05,0
3,0,3,5.5982960475375876e-05,0
4,0,4,0.728865385055542,0
5,0,5,8.151216752594337e-05,0
6,0,6,6.318675877992064e-05,0
7,0,7,0.9748423099517822,1
8,0,8,4.148965672357008e-05,0
9,0,9,6.411243521142751e-05,0
10,0,10,3.4369131753919646e-05,0
11,0,11,5.781759318779223e-05,0
12,0,12,0.9950379729270935,0
13,0,13,6.867716001579538e-05,0
14,0,14,0.0007200813270173967,0
15,0,15,5.9540510847000405e-05,0
16,0,16,9.182938083540648e-05,0
17,0,17,0.0002213410334661603,0
18,0,18,0.9188297986984253,0
19,0,19,0.9984319806098938,0
20,0,20,9.809547191252932e-05,0
21,0,21,8.652373071527109e-05,0
22,0,22,0.00012820425035897642,0
23,0,23,0.0001960775553015992,0
24,0,24,0.0008256227592937648,0
25,0,25,0.9299403429031372,0
26,0,26,0.00013567827409133315,0
27,0,27,0.00018481256847735494,0
28,0,28,0.9989141225814819,0
29,0,29,0.0010335821425542235,0
30,0,30,0.0007619877578690648,0
31,0,31,0.00020408540149219334,0
32,0,32,0.00010863036732189357,0
33,0,33,0.00018988410010933876,0
34,0,34,5.79780426051002e-05,0
35,0,35,0.00010838680464075878,0
36,0,36,0.0007771664531901479,0
37,0,37,0.0002293951401952654,0
38,0,38,6.332381599349901e-05,0
39,0,39,0.9935534000396729,0
40,0,40,0.00010166589345317334,0
41,0,41,0.00010376689169788733,0
42,0,42,2.7788410079665482e-05,0
43,0,43,0.00020457810023799539,0
44,0,44,7.131516031222418e-05,0
45,0,45,0.9995511174201965,0
46,0,46,0.0001706394541542977,0
47,0,47,0.9419941902160645,0
48,0,48,0.00010580461821518838,0
49,0,49,5.7612411183072254e-05,0
50,0,50,9.046696504810825e-05,0
51,0,51,0.0001286375045310706,0
52,0,52,0.997837483882904,0
53,0,53,9.346374281449243e-05,0
54,0,54,0.00010149907757295296,0
55,0,55,0.000193183877854608,0
56,0,56,0.00018001068383455276,0
57,0,57,0.0001108836368075572,0
58,0,58,0.00011675222049234435,0
59,0,59,0.9613572359085083,0
60,0,60,5.700383189832792e-05,0
61,0,61,8.08428885648027e-05,0
62,0,62,0.00013885482621844858,0
63,0,63,3.0250783311203122e-05,0
64,0,64,3.1731447961647063e-05,0
65,0,65,3.616306639742106e-05,0
66,0,66,0.0003792285278905183,0
67,0,67,6.0564998420886695e-05,0
68,0,68,8.485876605845988e-05,0
69,0,69,8.85174740687944e-05,0
70,0,70,7.039677439024672e-05,0
71,0,71,0.998936116695404,0
72,0,72,8.109614282147959e-05,0
73,0,73,0.0007476313621737063,0
74,0,74,0.009671778418123722,0
75,0,75,0.996932864189148,0
76,0,76,0.0027298384811729193,0
77,0,77,0.9722221493721008,0
78,0,78,6.507543730549514e-05,0
79,0,79,5.2297680667834356e-05,0
80,0,80,0.9851301908493042,0
81,0,81,3.6158446164336056e-05,0
82,0,82,7.435593579430133e-05,0
83,0,83,0.00010331509110983461,0
84,0,84,7.476134487660602e-05,0
85,0,85,5.4003874538466334e-05,0
86,0,86,7.586828724015504e-05,0
87,0,87,0.9831538796424866,0
88,0,88,0.9908688068389893,0
89,0,89,0.00010239608673145995,0
90,0,90,0.9475010633468628,0
91,0,91,0.9186452031135559,0
92,0,92,0.00032940006349235773,0
93,0,93,0.9823653101921082,0
94,0,94,0.9747183918952942,0
95,0,95,0.991480827331543,0
96,0,96,0.018525267019867897,0
97,1,0,0.9963556528091431,0
98,1,1,0.0005049458704888821,0
99,1,2,0.0002225111675215885,0
100,1,3,0.16456203162670135,0
101,1,4,0.9977306723594666,0
102,1,5,0.0012686820700764656,0
103,1,6,0.0008929945179261267,0
104,1,7,0.9968902468681335,0
105,1,8,4.005792288808152e-05,0
106,1,9,0.0007077525369822979,0
107,1,10,7.172478217398748e-05,0
108,1,11,0.07495272904634476,0
109,1,12,0.9993076324462891,0
110,1,13,0.0002020781976170838,0
111,1,14,0.048357043415308,0
112,1,15,0.11026453971862793,0
113,1,16,0.0092924227938056,0
114,1,17,0.798300564289093,0
115,1,18,0.9962835907936096,0
116,1,19,0.999675989151001,0
117,1,20,0.01173353660851717,0
118,1,21,0.0009381482377648354,0
119,1,22,0.0027850044425576925,0
120,1,23,0.010263544507324696,0
121,1,24,0.9959562420845032,0
122,1,25,0.9958760142326355,0
123,1,26,0.04096224159002304,0
124,1,27,0.011237469501793385,0
125,1,28,0.9998440742492676,0
126,1,29,0.9966133236885071,0
127,1,30,0.8231635689735413,0
128,1,31,0.9967888593673706,0
129,1,32,0.0010997735662385821,0
130,1,33,0.9979707598686218,0
