sentence_no,elementID
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultListDependency.java
9,src/main/java/org/jabref/logic/util/io/AutoLinkPreferences.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/ThreeWayMergeCell.java
9,src/main/java/org/jabref/architecture/AllowedToUseLogic.java
9,src/main/java/org/jabref/gui/util/ControlHelper.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/FieldValueCell.java
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesDialogViewModel.java
9,src/main/java/org/jabref/gui/util/ViewModelListCellFactory.java
9,src/main/java/org/jabref/gui/DragAndDropDataFormats.java
9,src/main/java/org/jabref/gui/util/JabRefResourceLocator.java
9,src/main/java/org/jabref/logic/JabRefException.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/HeaderCell.java
9,src/main/java/org/jabref/gui/preferences/customimporter/CustomImporterTabViewModel.java
9,src/main/java/org/jabref/gui/DefaultInjector.java
9,src/main/java/org/jabref/gui/errorconsole/LogEventViewModel.java
9,src/main/java/org/jabref/gui/undo/AbstractUndoableJabRefEdit.java
9,src/main/java/org/jabref/gui/icon/JabRefIcon.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/MergedFieldCell.java
9,src/test/java/org/jabref/logic/bibtex/comparator/CrossRefEntryComparatorTest.java
9,src/main/java/org/jabref/gui/auximport/NewSubLibraryAction.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/cell/FieldNameCell.java
9,src/main/java/org/jabref/logic/citationstyle/JabRefLocaleProvider.java
9,src/main/java/org/jabref/gui/shared/ConnectToSharedDatabaseCommand.java
9,src/main/java/org/jabref/gui/importer/NewDatabaseAction.java
9,src/main/java/org/jabref/gui/linkedfile/DeleteFileAction.java
9,src/main/java/org/jabref/gui/preferences/ShowPreferencesAction.java
9,src/main/java/org/jabref/gui/preferences/nameformatter/NameFormatterItemModel.java
9,src/main/java/org/jabref/gui/icon/JabRefMaterialDesignIcon.java
9,src/main/java/org/jabref/gui/util/ViewModelTextFieldTableCellVisualizationFactory.java
9,src/main/java/org/jabref/gui/preferences/customentrytypes/EntryTypeViewModel.java
9,src/main/java/org/jabref/gui/mergeentries/newmergedialog/diffhighlighter/UnifiedDiffHighlighter.java
9,src/main/java/org/jabref/gui/AbstractViewModel.java
9,src/main/java/org/jabref/gui/fieldeditors/OptionEditor.java
9,src/test/java/org/jabref/gui/fieldeditors/LinkedFilesEditorViewModelTest.java
9,src/test/java/org/jabref/gui/mergeentries/ThreeWayMergeCellViewModelTest.java
9,src/main/java/org/jabref/gui/fieldeditors/LinkedFilesEditor.java
9,src/test/java/org/jabref/logic/importer/fileformat/CustomImporterTest.java
9,src/main/java/org/jabref/gui/fieldeditors/UrlEditor.java
9,src/main/java/org/jabref/gui/groups/GroupTreeView.java
9,src/main/java/org/jabref/gui/copyfiles/CopyFilesResultItemViewModel.java
9,src/main/java/org/jabref/gui/preferences/customentrytypes/CustomEntryTypesTab.java
9,src/main/java/org/jabref/logic/citationstyle/JabRefItemDataProvider.java
9,src/main/java/org/jabref/gui/preferences/customentrytypes/CustomEntryTypeViewModel.java
9,src/main/java/org/jabref/gui/documentviewer/PdfDocumentViewModel.java
9,src/main/java/org/jabref/model/ChainNode.java
9,src/test/java/org/jabref/logic/shared/DBMSTypeTest.java
9,src/main/java/org/jabref/gui/preferences/externalfiletypes/ExternalFileTypesTabViewModel.java
9,src/main/java/org/jabref/logic/bibtex/comparator/CrossRefEntryComparator.java
9,src/test/java/org/jabref/gui/edit/ManageKeywordsViewModelTest.java
9,src/main/java/org/jabref/logic/bibtex/comparator/BibtexStringComparator.java
9,src/main/java/org/jabref/gui/preferences/PreferencesDialogViewModel.java
9,src/main/java/org/jabref/gui/actions/JabRefAction.java
9,src/main/java/org/jabref/gui/preferences/protectedterms/ProtectedTermsTabViewModel.java
9,src/main/java/org/jabref/gui/preferences/externalfiletypes/ExternalFileTypeItemViewModel.java
9,src/main/java/org/jabref/gui/maintable/MainTableColumnFactory.java
9,src/main/java/org/jabref/gui/importer/NewEntryAction.java
9,src/main/java/org/jabref/logic/shared/DBMSType.java
9,src/main/java/org/jabref/gui/fieldeditors/SimpleEditorViewModel.java
9,src/main/java/org/jabref/gui/maintable/MainTableDataModel.java
9,src/main/java/org/jabref/model/openoffice/uno/UnoCrossRef.java
9,src/main/java/org/jabref/gui/preferences/customimporter/CustomImporterTab.java
9,src/test/java/org/jabref/logic/bibtex/comparator/BibStringDiffTest.java
9,src/main/java/org/jabref/gui/commonfxcontrols/SaveOrderConfigPanel.java
9,src/main/java/org/jabref/gui/JabRefGUI.java
9,src/main/java/org/jabref/gui/fieldeditors/DateEditor.java
9,src/main/java/org/jabref/gui/libraryproperties/constants/ConstantsPropertiesViewModel.java
9,src/main/java/org/jabref/gui/fieldeditors/OwnerEditorViewModel.java
9,src/main/java/org/jabref/gui/JabRefExecutorService.java
9,src/main/java/org/jabref/gui/icon/JabRefIkonHandler.java
9,src/main/java/org/jabref/gui/exporter/CreateModifyExporterDialogView.java
9,src/main/java/org/jabref/gui/preferences/customexporter/CustomExporterTab.java
9,src/main/java/org/jabref/gui/util/ViewModelTreeTableRowFactory.java
9,src/main/java/org/jabref/gui/fieldeditors/OptionEditorViewModel.java
