SentenceId,CodeElementId
1,src/e2e/java/teammates/e2e/cases/FeedbackMcqQuestionE2ETest.java
1,src/main/java/teammates/common/datatransfer/questions/FeedbackContributionQuestionDetails.java
1,src/main/java/teammates/ui/output/FeedbackQuestionData.java
1,src/main/java/teammates/common/datatransfer/FeedbackQuestionRecipient.java
1,src/test/java/teammates/storage/api/FeedbackResponseCommentsDbTest.java
1,src/main/java/teammates/common/exception/EmailSendingException.java
1,src/main/java/teammates/ui/webapi/JsonResult.java
1,src/main/java/teammates/ui/output/ApiOutput.java
1,src/test/java/teammates/test/AbstractBackDoor.java
1,src/main/java/teammates/common/datatransfer/questions/FeedbackConstantSumQuestionDetails.java
1,src/test/java/teammates/logic/api/UserProvisionTest.java
1,src/test/java/teammates/ui/webapi/DeleteCourseActionTest.java
1,src/test/java/teammates/common/datatransfer/attributes/CourseAttributesTest.java
1,src/test/java/teammates/logic/api/MockRecaptchaVerifier.java
1,src/main/java/teammates/ui/output/FeedbackQuestionRecipientData.java
1,src/client/java/teammates/client/scripts/statistics/FileStore.java
1,src/e2e/java/teammates/e2e/pageobjects/AdminHomePage.java
1,src/test/java/teammates/ui/webapi/DeleteAccountRequestActionTest.java
1,src/test/java/teammates/ui/webapi/CreateCourseActionTest.java
1,src/main/java/teammates/common/datatransfer/InstructorPrivilegesLegacy.java
1,src/e2e/java/teammates/e2e/pageobjects/UserNotificationsPage.java
1,src/test/java/teammates/logic/core/package-info.java
1,src/main/java/teammates/common/util/TaskWrapper.java
1,src/main/java/teammates/common/datatransfer/logs/LogSeverity.java
1,src/main/java/teammates/ui/webapi/FeedbackSessionRemindParticularUsersEmailWorkerAction.java
1,src/client/java/teammates/client/scripts/DataMigrationForSanitizedDataInStudentAttributes.java
1,src/main/java/teammates/storage/search/AccountRequestSearchDocument.java
1,src/main/java/teammates/ui/servlets/RequestTraceFilter.java
1,src/main/java/teammates/ui/webapi/GetTimeZonesAction.java
1,src/main/java/teammates/logic/external/MailjetService.java
1,src/main/java/teammates/storage/entity/DeadlineExtension.java
