modelElementID,codeId
1,src/client/java/teammates/client/connector/DatastoreClient.java
4,src/client/java/teammates/client/connector/DatastoreClient.java
18,src/client/java/teammates/client/connector/DatastoreClient.java
196,src/client/java/teammates/client/connector/DatastoreClient.java
197,src/client/java/teammates/client/connector/DatastoreClient.java
194,src/client/java/teammates/client/connector/DatastoreClient.java
195,src/client/java/teammates/client/connector/DatastoreClient.java
198,src/client/java/teammates/client/connector/DatastoreClient.java
97,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
85,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
81,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
23,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
22,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
26,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
25,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
29,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
1,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
7,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
4,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
5,src/main/java/teammates/ui/output/FeedbackVisibilityType.java
9,src/test/java/teammates/storage/search/BaseSearchTest.java
1,src/test/java/teammates/storage/search/BaseSearchTest.java
177,src/test/java/teammates/storage/search/BaseSearchTest.java
125,src/test/java/teammates/storage/search/BaseSearchTest.java
123,src/test/java/teammates/storage/search/BaseSearchTest.java
130,src/test/java/teammates/storage/search/BaseSearchTest.java
128,src/test/java/teammates/storage/search/BaseSearchTest.java
118,src/test/java/teammates/storage/search/BaseSearchTest.java
101,src/test/java/teammates/storage/search/BaseSearchTest.java
133,src/test/java/teammates/storage/search/BaseSearchTest.java
131,src/test/java/teammates/storage/search/BaseSearchTest.java
132,src/test/java/teammates/storage/search/BaseSearchTest.java
88,src/test/java/teammates/storage/search/BaseSearchTest.java
1,src/test/java/teammates/logic/api/LogicExtension.java
8,src/test/java/teammates/logic/api/LogicExtension.java
7,src/test/java/teammates/logic/api/LogicExtension.java
122,src/test/java/teammates/logic/api/LogicExtension.java
119,src/test/java/teammates/logic/api/LogicExtension.java
117,src/test/java/teammates/logic/api/LogicExtension.java
22,src/test/java/teammates/logic/api/LogicExtension.java
131,src/test/java/teammates/logic/api/LogicExtension.java
129,src/test/java/teammates/logic/api/LogicExtension.java
68,src/test/java/teammates/logic/api/LogicExtension.java
77,src/test/java/teammates/logic/api/LogicExtension.java
47,src/test/java/teammates/logic/api/LogicExtension.java
185,src/test/java/teammates/logic/api/LogicExtension.java
97,src/test/java/teammates/logic/api/LogicExtension.java
176,src/test/java/teammates/logic/api/LogicExtension.java
85,src/test/java/teammates/logic/api/LogicExtension.java
86,src/test/java/teammates/logic/api/LogicExtension.java
84,src/test/java/teammates/logic/api/LogicExtension.java
79,src/test/java/teammates/logic/api/LogicExtension.java
87,src/test/java/teammates/logic/api/LogicExtension.java
88,src/test/java/teammates/logic/api/LogicExtension.java
1,src/main/java/teammates/logic/api/Logic.java
8,src/main/java/teammates/logic/api/Logic.java
7,src/main/java/teammates/logic/api/Logic.java
122,src/main/java/teammates/logic/api/Logic.java
119,src/main/java/teammates/logic/api/Logic.java
117,src/main/java/teammates/logic/api/Logic.java
22,src/main/java/teammates/logic/api/Logic.java
131,src/main/java/teammates/logic/api/Logic.java
129,src/main/java/teammates/logic/api/Logic.java
68,src/main/java/teammates/logic/api/Logic.java
77,src/main/java/teammates/logic/api/Logic.java
47,src/main/java/teammates/logic/api/Logic.java
185,src/main/java/teammates/logic/api/Logic.java
97,src/main/java/teammates/logic/api/Logic.java
176,src/main/java/teammates/logic/api/Logic.java
85,src/main/java/teammates/logic/api/Logic.java
86,src/main/java/teammates/logic/api/Logic.java
84,src/main/java/teammates/logic/api/Logic.java
79,src/main/java/teammates/logic/api/Logic.java
87,src/main/java/teammates/logic/api/Logic.java
88,src/main/java/teammates/logic/api/Logic.java
97,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
85,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
81,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
23,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
22,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
26,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
25,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
29,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
1,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
7,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
4,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
5,src/main/java/teammates/ui/output/FeedbackSessionPublishStatus.java
97,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
85,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
81,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
23,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
22,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
26,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
25,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
29,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
1,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
7,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
4,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
5,src/main/java/teammates/ui/webapi/BasicCommentSubmissionAction.java
97,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
85,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
81,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
23,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
22,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
26,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
25,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
29,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
1,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
7,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
4,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
5,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
1,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
4,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
18,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
196,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
197,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
194,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
195,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
198,src/client/java/teammates/client/scripts/DataMigrationForStudentsAndTeamsRecipientType.java
97,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
85,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
81,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
23,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
22,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
26,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
25,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
29,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
1,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
7,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
4,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
5,src/test/java/teammates/ui/webapi/ArchiveCourseActionTest.java
97,src/main/java/teammates/ui/output/RegenerateKeyData.java
85,src/main/java/teammates/ui/output/RegenerateKeyData.java
81,src/main/java/teammates/ui/output/RegenerateKeyData.java
23,src/main/java/teammates/ui/output/RegenerateKeyData.java
