ArchitectureElementId,CodeElementId
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/UpdateFeedbackQuestionAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/servlets/WebSecurityHeaderFilter.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/webapi/JsonResultTest.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/AuthInfo.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/EntityNotFoundException.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/InstructorPermissionRole.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/AccountData.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/GetSessionResponseStatsAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/request/InvalidHttpRequestBodyException.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/CommentVisibilityType.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/GetNotificationAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/constants/ApiConst.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/GetInstructorsAction.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/webapi/DeleteCourseActionTest.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/SubmitFeedbackResponsesAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/AccountRequestSearchIndexingWorkerAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/FeedbackSessionsData.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/webapi/SearchStudentsActionTest.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/SendEmailWorkerAction.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/output/EmailData.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/servlets/LegacyUrlMapperTest.java
_0kie8KESEeu-mYqkDskRow,src/main/java/teammates/ui/webapi/GetCourseAction.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/webapi/StudentSearchIndexingWorkerActionTest.java
_0kie8KESEeu-mYqkDskRow,src/test/java/teammates/ui/webapi/InstructorSearchIndexingWorkerActionTest.java
